Agency,Description,Uploaded on,Link,Saved
CONSUMER FINANCIAL PROTECTION BUREAU,LEGAL SUPPORT SERVICES - AT...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0052&modNumber=P00007&idvAgencyID=&idvPIID=9531CB21D0010&contractType=AWARD,"$183,834"
CONSUMER FINANCIAL PROTECTION BUREAU,JURY SELECTION EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0006&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$189,257"
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0026&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$190,000"
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT CONTRACT - EH - MP,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25C0007&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$190,210"
CONSUMER FINANCIAL PROTECTION BUREAU,STATISTICIAN AND ECONOMIC E...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0030&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$198,258"
CONSUMER FINANCIAL PROTECTION BUREAU,QUALITATIVE TESTING SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0061&modNumber=P00010&idvAgencyID=&idvPIID=GS00F348CA&contractType=AWARD,"$204,228"
CONSUMER FINANCIAL PROTECTION BUREAU,ASK CFPB PROJECT MANAGEMENT...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0027&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$204,267"
CONSUMER FINANCIAL PROTECTION BUREAU,ELDER FRAUD PREVENTION AND ...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0073&modNumber=0&idvAgencyID=&idvPIID=GS00F010CA&contractType=AWARD,"$204,454"
CONSUMER FINANCIAL PROTECTION BUREAU,QUALITATIVE RESEARCH IN THE...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0065&modNumber=0&idvAgencyID=&idvPIID=9531CB20A0007&contractType=AWARD,"$211,303"
CONSUMER FINANCIAL PROTECTION BUREAU,SOW #1&2-CLI,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB19P0037&modNumber=P00014&idvAgencyID=&idvPIID=&contractType=AWARD,"$212,601"
CONSUMER FINANCIAL PROTECTION BUREAU,ENTELLITRAK SUPPORT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0046&modNumber=P00003&idvAgencyID=&idvPIID=75N98120D00183&contractType=AWARD,"$213,591"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0014&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$218,850"
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT WITNESS SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0026&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$225,500"
CONSUMER FINANCIAL PROTECTION BUREAU,INTERNAL COMMS SUPPORT BPA ...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0004&modNumber=P00002&idvAgencyID=&idvPIID=9531CB23A0018&contractType=AWARD,"$237,660"
CONSUMER FINANCIAL PROTECTION BUREAU,COPY-TESTING EXPERT SERVICE...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0013&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$265,822"
CONSUMER FINANCIAL PROTECTION BUREAU,CLOUD PROGRAM MANAGEMENT AN...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0035&modNumber=P00007&idvAgencyID=&idvPIID=9531CB21A0004&contractType=AWARD,"$276,575"
CONSUMER FINANCIAL PROTECTION BUREAU,USER EXPERIENCE AND WEB DES...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0013&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$279,288"
CONSUMER FINANCIAL PROTECTION BUREAU,OSR PFM RESOURCE SUPPORT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0089&modNumber=P00005&idvAgencyID=&idvPIID=9531CB22D0002&contractType=AWARD,"$286,086"
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT CONTRACT - MRC - AM,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25C0005&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$286,750"
CONSUMER FINANCIAL PROTECTION BUREAU,COMPLIANCE TRAINING,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0072&modNumber=0&idvAgencyID=&idvPIID=9531CB24A0006&contractType=AWARD,"$301,889"
CONSUMER FINANCIAL PROTECTION BUREAU,PERFORMANCE MANAGEMENT SUPP...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0005&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"$309,302"
CONSUMER FINANCIAL PROTECTION BUREAU,TABLEAU SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0025&modNumber=P00003&idvAgencyID=&idvPIID=GS35F142GA&contractType=AWARD,"$321,145"
CONSUMER FINANCIAL PROTECTION BUREAU,WRITING AND EDITORIAL SUPPO...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0044&modNumber=P00002&idvAgencyID=&idvPIID=9531CB23A0018&contractType=AWARD,"$322,221"
CONSUMER FINANCIAL PROTECTION BUREAU,SUPPORT TO ENSURE POSITIONS...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0059&modNumber=P00004&idvAgencyID=&idvPIID=GS15F0056M&contractType=AWARD,"$336,247"
CONSUMER FINANCIAL PROTECTION BUREAU,NEW EXPERT CONTRACT - SMC - MC,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0021&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$342,938"
CONSUMER FINANCIAL PROTECTION BUREAU,BPA CALL NO.1 - YOUR MONEY ...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0040&modNumber=P00002&idvAgencyID=&idvPIID=9531CB24A0001&contractType=AWARD,"$349,941"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0026&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$363,570"
CONSUMER FINANCIAL PROTECTION BUREAU,MORTGAGE DATA FOR CFPB,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0012&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$370,000"
CONSUMER FINANCIAL PROTECTION BUREAU,DATA QUALITY OPERATIONS_REC...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0099&modNumber=P00012&idvAgencyID=&idvPIID=GS35F230CA&contractType=AWARD,"$371,685"
CONSUMER FINANCIAL PROTECTION BUREAU,"DESIGN, DEVELOPMENT, CONTEN...",2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0068&modNumber=0&idvAgencyID=&idvPIID=9531CB23A0009&contractType=AWARD,"$380,637"
CONSUMER FINANCIAL PROTECTION BUREAU,BPA CALL FOR OHC OD & REALI...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0024&modNumber=P00008&idvAgencyID=&idvPIID=9531CB22A0005&contractType=AWARD,"$386,791"
CONSUMER FINANCIAL PROTECTION BUREAU,DATA SCIENCE SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0030&modNumber=P00003&idvAgencyID=&idvPIID=9531CB22A0020&contractType=AWARD,"$407,118"
CONSUMER FINANCIAL PROTECTION BUREAU,NEW EXPERT WITNESS CONTRACT...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0020&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$409,633"
CONSUMER FINANCIAL PROTECTION BUREAU,ATTORNEY CONTRACTOR SUPPORT...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0070&modNumber=P00005&idvAgencyID=&idvPIID=9531CB21D0008&contractType=AWARD,"$414,025"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0010&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$420,525"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0027&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$421,681"
CONSUMER FINANCIAL PROTECTION BUREAU,EVENT MANAGEMENT LOGISTICAL...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0089&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA21D009M&contractType=AWARD,"$423,849"
CONSUMER FINANCIAL PROTECTION BUREAU,IT RESEARCH & ADVISORY SUBS...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00009&modNumber=P00006&idvAgencyID=&idvPIID=47QTCA18D008L&contractType=AWARD,"$434,348"
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT CONTRACT - CR - BS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25C0010&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$438,172"
CONSUMER FINANCIAL PROTECTION BUREAU,INFORMATION SECURITY EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0003&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$439,950"
CONSUMER FINANCIAL PROTECTION BUREAU,ATTORNEY CONTRACTOR SUPPORT...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0069&modNumber=P00004&idvAgencyID=&idvPIID=9531CB21D0007&contractType=AWARD,"$443,983"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB LIFE INSURANCE SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0004&modNumber=P00010&idvAgencyID=&idvPIID=&contractType=AWARD,"$448,251"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0002&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$482,280"
CONSUMER FINANCIAL PROTECTION BUREAU,CONTENT STRATEGY SUPPORT SE...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0068&modNumber=P00006&idvAgencyID=&idvPIID=9531CB23A0014&contractType=AWARD,"$482,692"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB VISION INSURANCE SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0002&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$509,372"
CONSUMER FINANCIAL PROTECTION BUREAU,BACK END DEVELOPER SUPPORT ...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0029&modNumber=0&idvAgencyID=&idvPIID=9531CB23A0009&contractType=AWARD,"$516,995"
CONSUMER FINANCIAL PROTECTION BUREAU,PRIVACY SUPPORT SERVICES BP...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0036&modNumber=0&idvAgencyID=&idvPIID=9531CB24A0004&contractType=AWARD,"$529,503"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0016&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$546,500"
CONSUMER FINANCIAL PROTECTION BUREAU,DEVOPS SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0032&modNumber=0&idvAgencyID=&idvPIID=9531CB23A0011&contractType=AWARD,"$561,386"
CONSUMER FINANCIAL PROTECTION BUREAU,LEGAL ANALYTICS SUPPORT SER...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0036&modNumber=P00001&idvAgencyID=&idvPIID=9531CB22A0021&contractType=AWARD,"$561,401"
CONSUMER FINANCIAL PROTECTION BUREAU,CONTRACTOR SUPPORT SERVICES...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0078&modNumber=P00005&idvAgencyID=&idvPIID=9531CB23A0018&contractType=AWARD,"$592,043"
CONSUMER FINANCIAL PROTECTION BUREAU,MANAGEMENT AND STRATEGY CON...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0058&modNumber=P00010&idvAgencyID=&idvPIID=9531CB22A0004&contractType=AWARD,"$664,145"
CONSUMER FINANCIAL PROTECTION BUREAU,VIDEO PRODUCTION SUPPORT SE...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0056&modNumber=P00001&idvAgencyID=&idvPIID=9531CB23A0014&contractType=AWARD,"$712,984"
CONSUMER FINANCIAL PROTECTION BUREAU,COMPLAINT HANDLING & CONTIN...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0092&modNumber=P00011&idvAgencyID=&idvPIID=47QRAA22D006B&contractType=AWARD,"$722,552"
CONSUMER FINANCIAL PROTECTION BUREAU,FUTURE LEADERS TRAINING PRO...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0070&modNumber=P00002&idvAgencyID=&idvPIID=GS35F013CA&contractType=AWARD,"$744,206"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0022&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$759,558"
CONSUMER FINANCIAL PROTECTION BUREAU,DAMAGES EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0003&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$799,613"
CONSUMER FINANCIAL PROTECTION BUREAU,WEB ANALYTICS SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0005&modNumber=P00002&idvAgencyID=&idvPIID=9531CB22A0019&contractType=AWARD,"$818,833"
CONSUMER FINANCIAL PROTECTION BUREAU,"DESIGN, DEVELOPMENT, CONTEN...",2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0001&modNumber=P00002&idvAgencyID=&idvPIID=9531CB23A0016&contractType=AWARD,"$867,110"
CONSUMER FINANCIAL PROTECTION BUREAU,DATA ANALYTICS SUPPORT SERV...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0003&modNumber=P00004&idvAgencyID=&idvPIID=9531CB22A0019&contractType=AWARD,"$872,118"
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE CHIEF DATA OF...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0093&modNumber=P00005&idvAgencyID=&idvPIID=9531CB22A0005&contractType=AWARD,"$900,570"
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER CREDIT INFORMATION...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343025F00002&modNumber=0&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$907,741"
CONSUMER FINANCIAL PROTECTION BUREAU,BPA CALL FOR ORGANIZATION D...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0020&modNumber=0&idvAgencyID=&idvPIID=9531CB25A0005&contractType=AWARD,"$946,785"
CONSUMER FINANCIAL PROTECTION BUREAU,DEVOPS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0054&modNumber=P00004&idvAgencyID=&idvPIID=9531CB23A0009&contractType=AWARD,"$958,422"
CONSUMER FINANCIAL PROTECTION BUREAU,ATTORNEY CONTRACTOR SUPPORT...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0071&modNumber=P00006&idvAgencyID=&idvPIID=9531CB21D0010&contractType=AWARD,"$1,068,189"
CONSUMER FINANCIAL PROTECTION BUREAU,ORDER 1 - CYBER PROGRAM MAN...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00001&modNumber=P00003&idvAgencyID=&idvPIID=20343023A00005&contractType=AWARD,"$1,086,524"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0011&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,167,385"
CONSUMER FINANCIAL PROTECTION BUREAU,AV SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0009&modNumber=0&idvAgencyID=&idvPIID=9531CB21A0004&contractType=AWARD,"$1,286,369"
CONSUMER FINANCIAL PROTECTION BUREAU,PROJECT MANAGEMENT AND USER...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0065&modNumber=P00006&idvAgencyID=&idvPIID=9531CB23A0011&contractType=AWARD,"$1,466,208"
CONSUMER FINANCIAL PROTECTION BUREAU,SERVICENOW SUPPORT SERVICES...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0003&modNumber=P00001&idvAgencyID=&idvPIID=47QTCB21D0427&contractType=AWARD,"$1,532,870"
CONSUMER FINANCIAL PROTECTION BUREAU,DATA ANALYST SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0110&modNumber=P00002&idvAgencyID=&idvPIID=9531CB21A0004&contractType=AWARD,"$1,554,625"
CONSUMER FINANCIAL PROTECTION BUREAU,CUSTOMER RELATIONSHIP MANAG...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21F0038&modNumber=P00015&idvAgencyID=&idvPIID=GS35F0617Y&contractType=AWARD,"$1,826,016"
CONSUMER FINANCIAL PROTECTION BUREAU,SHORT-TERM AND LONG-TERM DI...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0006&modNumber=P00014&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,850,657"
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT WITNESS CONTRACT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0005&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,866,635"
CONSUMER FINANCIAL PROTECTION BUREAU,DATA SHARING SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0060&modNumber=P00006&idvAgencyID=&idvPIID=GS00F290CA&contractType=AWARD,"$2,010,367"
CONSUMER FINANCIAL PROTECTION BUREAU,DATA MANAGEMENT SUPPORT SER...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0067&modNumber=A00001&idvAgencyID=&idvPIID=9531CB22A0018&contractType=AWARD,"$2,105,046"
CONSUMER FINANCIAL PROTECTION BUREAU,DIRECT EDISCOVERY SERVICES ...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0054&modNumber=P00005&idvAgencyID=&idvPIID=9531CB22A0013&contractType=AWARD,"$2,260,477"
CONSUMER FINANCIAL PROTECTION BUREAU,ENTERPRISE ARCHITECTURE AND...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0062&modNumber=P00008&idvAgencyID=&idvPIID=GS35F540GA&contractType=AWARD,"$2,332,380"
CONSUMER FINANCIAL PROTECTION BUREAU,CFPB DENTAL INSURANCE SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0003&modNumber=P00013&idvAgencyID=&idvPIID=&contractType=AWARD,"$2,381,963"
CONSUMER FINANCIAL PROTECTION BUREAU,PMO SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0087&modNumber=P00006&idvAgencyID=&idvPIID=47QTCA21D007D&contractType=AWARD,"$2,545,007"
CONSUMER FINANCIAL PROTECTION BUREAU,SMALL BUSINESS LENDING,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0022&modNumber=P00005&idvAgencyID=&idvPIID=9531CB23A0007&contractType=AWARD,"$5,435,428"
CONSUMER FINANCIAL PROTECTION BUREAU,BPA CALL FOR FY 22 ORGANIZA...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0026&modNumber=P00003&idvAgencyID=&idvPIID=9531CB21A0011&contractType=AWARD,"$279,785"
CONSUMER FINANCIAL PROTECTION BUREAU,THE BUREAU'S NEW OFFICE OF ...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0078&modNumber=P00009&idvAgencyID=&idvPIID=9531CB22A0004&contractType=AWARD,"$3,705,807"
CONSUMER FINANCIAL PROTECTION BUREAU,REG TECH TIER 1 AND OPERATI...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0095&modNumber=P00007&idvAgencyID=&idvPIID=9531CB22A0004&contractType=AWARD,"$4,421,779.05"
CONSUMER PRODUCT SAFETY COMMISSION,NEWS-CLIPS CONTRACT,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6100&PIID=61320620F0010&modNumber=P00001&idvAgencyID=&idvPIID=GS00F206CA&contractType=AWARD,"$222,950"
CONSUMER PRODUCT SAFETY COMMISSION,NEWS RELEASE DISTRIBUTION S...,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6100&PIID=61320621P0034&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,$0
CONSUMER PRODUCT SAFETY COMMISSION,NEWS-CLIPS CONTRACT,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6100&PIID=61320620F0025&modNumber=P00007&idvAgencyID=&idvPIID=GS00F206CA&contractType=AWARD,"$17,366"
COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,TERMINATION FOR CONVENIENCE.,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9511&PIID=9531BL24P0278&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$24,250"
DEPARTMENT OF AGRICULTURE,DEIA Training,1/22/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423C0053&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$920,259"
DEPARTMENT OF AGRICULTURE,DEIA Training,1/22/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319823A0004&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D00GU&contractType=IDV,"$25,000,000"
DEPARTMENT OF AGRICULTURE,DEIA Training,1/22/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319823A0003&modNumber=P00001&idvAgencyID=&idvPIID=GS00F191GA&contractType=IDV,"$25,000,000"
DEPARTMENT OF AGRICULTURE,DEIA Training,1/22/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319823A0005&modNumber=P00001&idvAgencyID=&idvPIID=GS00F404GA&contractType=IDV,"$25,000,000"
DEPARTMENT OF AGRICULTURE,"DIVERSITY, EQUITY, INCLUSIO...",1/28/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319823F0065&modNumber=P00002&idvAgencyID=&idvPIID=12319823A0004&contractType=AWARD,"$121,770.76"
